,index,Season,Week,Include,Team 1,Team 2,Spread Open,O/U Open,Open Favorite,Spread Close,O/U Close,Close Favorite,Spread Consensus Team 1,Spread Consensus Team 2,Over Consensus,Under Consensus,Moneyline Consensus Team 1,Moneyline Consensus Team 2,Game ID 1,Game ID 2
808,1616,2017,12,True,Minnesota,Detroit,0.0,44.5,No Favorite,-2.5,46.0,Team 1,56%,44%,74%,26%,52%,48%,201712MinnesotaDetroit,201712DetroitMinnesota
809,1618,2017,12,True,LAChargers,Dallas,-3.5,47.5,Team 2,-1.0,46.5,Team 1,48%,52%,69%,31%,37%,63%,201712LAChargersDallas,201712DallasLAChargers
810,1620,2017,12,True,NYGiants,Washington,-9.0,41.5,Team 2,-7.0,44.0,Team 2,22%,78%,68%,32%,38%,62%,201712NYGiantsWashington,201712WashingtonNYGiants
811,1622,2017,12,True,Cleveland,Cincinnati,-8.0,38.0,Team 2,-7.5,39.0,Team 2,35%,65%,41%,59%,40%,60%,201712ClevelandCincinnati,201712CincinnatiCleveland
812,1624,2017,12,True,Chicago,Philadelphia,-12.5,44.0,Team 2,-13.5,43.5,Team 2,24%,76%,66%,34%,45%,55%,201712ChicagoPhiladelphia,201712PhiladelphiaChicago
813,1626,2017,12,True,Miami,NewEngland,-15.5,47.5,Team 2,-16.5,49.0,Team 2,39%,61%,50%,50%,53%,47%,201712MiamiNewEngland,201712NewEnglandMiami
814,1628,2017,12,True,Buffalo,KansasCity,-9.5,45.0,Team 2,-9.0,47.0,Team 2,50%,50%,79%,21%,53%,47%,201712BuffaloKansasCity,201712KansasCityBuffalo
815,1630,2017,12,True,TampaBay,Atlanta,-8.5,49.0,Team 2,-10.0,47.0,Team 2,33%,67%,64%,36%,34%,66%,201712TampaBayAtlanta,201712AtlantaTampaBay
816,1632,2017,12,True,Carolina,NYJets,-4.5,39.5,Team 1,-6.0,39.5,Team 1,76%,24%,76%,24%,79%,21%,201712CarolinaNYJets,201712NYJetsCarolina
817,1634,2017,12,True,Tennessee,Indianapolis,-4.5,44.5,Team 1,-3.0,46.5,Team 1,53%,47%,70%,30%,47%,53%,201712TennesseeIndianapolis,201712IndianapolisTennessee
818,1636,2017,12,True,Seattle,SanFrancisco,-7.0,42.5,Team 1,-7.0,45.0,Team 1,76%,24%,52%,48%,72%,28%,201712SeattleSanFrancisco,201712SanFranciscoSeattle
819,1638,2017,12,True,NewOrleans,LARams,-2.0,54.0,Team 2,-2.5,54.0,Team 2,54%,46%,76%,24%,65%,35%,201712NewOrleansLARams,201712LARamsNewOrleans
820,1640,2017,12,True,Jacksonville,Arizona,-4.0,38.0,Team 1,-6.0,37.0,Team 1,71%,29%,64%,36%,57%,43%,201712JacksonvilleArizona,201712ArizonaJacksonville
821,1642,2017,12,True,Denver,Oakland,-5.0,43.0,Team 2,-4.0,41.0,Team 2,23%,77%,67%,33%,33%,67%,201712DenverOakland,201712OaklandDenver
822,1644,2017,12,True,GreenBay,Pittsburgh,-14.0,42.0,Team 2,-14.0,43.0,Team 2,24%,76%,75%,25%,39%,61%,201712GreenBayPittsburgh,201712PittsburghGreenBay
823,1646,2017,12,True,Houston,Baltimore,-7.5,38.0,Team 2,-7.5,39.5,Team 2,29%,71%,64%,36%,37%,63%,201712HoustonBaltimore,201712BaltimoreHouston
824,1648,2017,13,True,Washington,Dallas,-2.5,44.0,Team 2,-1.5,47.0,Team 1,70%,30%,63%,37%,66%,34%,201713WashingtonDallas,201713DallasWashington
825,1650,2017,13,True,Detroit,Baltimore,-3.0,42.0,Team 2,-2.5,43.0,Team 2,50%,50%,48%,52%,53%,47%,201713DetroitBaltimore,201713BaltimoreDetroit
826,1652,2017,13,True,SanFrancisco,Chicago,-5.5,39.5,Team 2,-2.5,42.0,Team 2,55%,45%,39%,61%,67%,33%,201713SanFranciscoChicago,201713ChicagoSanFrancisco
827,1654,2017,13,True,Minnesota,Atlanta,-3.0,47.5,Team 2,-2.0,48.5,Team 2,36%,64%,81%,19%,30%,70%,201713MinnesotaAtlanta,201713AtlantaMinnesota
828,1656,2017,13,True,NewEngland,Buffalo,-9.0,49.0,Team 1,-7.5,49.0,Team 1,74%,26%,63%,37%,82%,18%,201713NewEnglandBuffalo,201713BuffaloNewEngland
829,1658,2017,13,True,Denver,Miami,-1.0,38.0,Team 2,-1.5,41.0,Team 1,59%,41%,64%,36%,50%,50%,201713DenverMiami,201713MiamiDenver
830,1660,2017,13,True,Houston,Tennessee,-7.0,42.0,Team 2,-7.0,42.5,Team 2,35%,65%,60%,40%,47%,53%,201713HoustonTennessee,201713TennesseeHouston
831,1662,2017,13,True,Indianapolis,Jacksonville,-8.5,41.0,Team 2,-10.0,41.0,Team 2,33%,67%,55%,45%,17%,83%,201713IndianapolisJacksonville,201713JacksonvilleIndianapolis
832,1664,2017,13,True,TampaBay,GreenBay,-1.0,44.0,Team 1,-3.0,45.0,Team 2,19%,81%,63%,37%,9%,91%,201713TampaBayGreenBay,201713GreenBayTampaBay
833,1666,2017,13,True,KansasCity,NYJets,-4.0,43.5,Team 1,-4.0,44.0,Team 1,49%,51%,67%,33%,77%,23%,201713KansasCityNYJets,201713NYJetsKansasCity
834,1668,2017,13,True,Carolina,NewOrleans,-3.5,48.0,Team 2,-6.0,48.0,Team 2,42%,58%,79%,21%,39%,61%,201713CarolinaNewOrleans,201713NewOrleansCarolina
835,1670,2017,13,True,Cleveland,LAChargers,-13.0,42.5,Team 2,-13.5,44.5,Team 2,29%,71%,82%,18%,39%,61%,201713ClevelandLAChargers,201713LAChargersCleveland
836,1672,2017,13,True,LARams,Arizona,-6.0,45.5,Team 1,-7.0,43.0,Team 1,62%,38%,67%,33%,70%,30%,201713LARamsArizona,201713ArizonaLARams
837,1674,2017,13,True,NYGiants,Oakland,-7.5,40.5,Team 2,-9.5,43.0,Team 2,19%,81%,51%,49%,43%,57%,201713NYGiantsOakland,201713OaklandNYGiants
838,1676,2017,13,True,Philadelphia,Seattle,-6.0,48.5,Team 1,-4.0,46.5,Team 1,67%,33%,72%,28%,53%,47%,201713PhiladelphiaSeattle,201713SeattlePhiladelphia
839,1678,2017,13,True,Pittsburgh,Cincinnati,-6.5,43.0,Team 1,-4.5,43.0,Team 1,69%,31%,62%,38%,77%,23%,201713PittsburghCincinnati,201713CincinnatiPittsburgh
840,1680,2017,14,True,NewOrleans,Atlanta,-4.0,54.5,Team 1,-2.5,52.0,Team 2,56%,44%,65%,35%,54%,46%,201714NewOrleansAtlanta,201714AtlantaNewOrleans
841,1682,2017,14,True,Detroit,TampaBay,-1.0,43.0,Team 1,0.0,48.0,No Favorite,52%,48%,69%,31%,44%,56%,201714DetroitTampaBay,201714TampaBayDetroit
842,1684,2017,14,True,Chicago,Cincinnati,-7.0,39.5,Team 2,-6.0,40.0,Team 2,51%,49%,52%,48%,49%,51%,201714ChicagoCincinnati,201714CincinnatiChicago
843,1686,2017,14,True,Indianapolis,Buffalo,-2.5,39.5,Team 2,-3.0,36.5,Team 2,36%,64%,26%,74%,23%,77%,201714IndianapolisBuffalo,201714BuffaloIndianapolis
844,1688,2017,14,True,Seattle,Jacksonville,-3.5,39.5,Team 2,-2.5,41.0,Team 2,66%,34%,45%,55%,58%,42%,201714SeattleJacksonville,201714JacksonvilleSeattle
845,1690,2017,14,True,Oakland,KansasCity,-4.0,47.5,Team 2,-4.5,48.5,Team 2,45%,55%,70%,30%,41%,59%,201714OaklandKansasCity,201714KansasCityOakland
846,1692,2017,14,True,Minnesota,Carolina,0.0,42.0,No Favorite,-2.5,40.5,Team 1,54%,46%,62%,38%,46%,54%,201714MinnesotaCarolina,201714CarolinaMinnesota
847,1694,2017,14,True,GreenBay,Cleveland,-6.0,41.0,Team 1,-2.5,38.5,Team 1,63%,37%,52%,48%,75%,25%,201714GreenBayCleveland,201714ClevelandGreenBay
848,1696,2017,14,True,SanFrancisco,Houston,-3.0,43.0,Team 2,-1.5,45.5,Team 2,43%,57%,48%,52%,57%,43%,201714SanFranciscoHouston,201714HoustonSanFrancisco
849,1698,2017,14,True,Washington,LAChargers,-6.0,46.0,Team 2,-6.0,46.5,Team 2,33%,67%,85%,15%,50%,50%,201714WashingtonLAChargers,201714LAChargersWashington
850,1700,2017,14,True,NYJets,Denver,-1.0,40.5,Team 2,-1.0,40.5,Team 1,72%,28%,37%,63%,60%,40%,201714NYJetsDenver,201714DenverNYJets
851,1702,2017,14,True,Tennessee,Arizona,-2.5,44.5,Team 1,-3.0,42.0,Team 1,32%,68%,51%,49%,72%,28%,201714TennesseeArizona,201714ArizonaTennessee
852,1704,2017,14,True,Philadelphia,LARams,0.0,51.0,No Favorite,-1.0,47.5,Team 1,64%,36%,80%,20%,64%,36%,201714PhiladelphiaLARams,201714LARamsPhiladelphia
853,1706,2017,14,True,Dallas,NYGiants,-6.0,41.0,Team 1,-4.0,42.5,Team 1,63%,37%,77%,23%,74%,26%,201714DallasNYGiants,201714NYGiantsDallas
854,1708,2017,14,True,Baltimore,Pittsburgh,-7.0,41.0,Team 2,-6.0,43.0,Team 2,46%,54%,75%,25%,38%,62%,201714BaltimorePittsburgh,201714PittsburghBaltimore
855,1710,2017,14,True,NewEngland,Miami,-11.0,48.5,Team 1,-10.5,48.0,Team 1,69%,31%,66%,34%,64%,36%,201714NewEnglandMiami,201714MiamiNewEngland
856,1712,2017,15,True,Denver,Indianapolis,-3.0,41.0,Team 1,-3.0,40.5,Team 1,54%,46%,49%,51%,60%,40%,201715DenverIndianapolis,201715IndianapolisDenver
857,1714,2017,15,True,Chicago,Detroit,-6.5,43.5,Team 2,-5.0,43.5,Team 2,43%,57%,69%,31%,20%,80%,201715ChicagoDetroit,201715DetroitChicago
858,1716,2017,15,True,LAChargers,KansasCity,-1.0,45.5,Team 2,0.0,47.0,No Favorite,53%,47%,65%,35%,45%,55%,201715LAChargersKansasCity,201715KansasCityLAChargers
859,1718,2017,15,True,Philadelphia,NYGiants,-9.5,40.0,Team 1,-7.5,41.0,Team 1,70%,30%,71%,29%,62%,38%,201715PhiladelphiaNYGiants,201715NYGiantsPhiladelphia
860,1720,2017,15,True,GreenBay,Carolina,-1.0,44.5,Team 2,-3.0,47.0,Team 2,43%,57%,85%,15%,55%,45%,201715GreenBayCarolina,201715CarolinaGreenBay
861,1722,2017,15,True,Cincinnati,Minnesota,-10.0,41.0,Team 2,-13.0,42.5,Team 2,32%,68%,52%,48%,58%,42%,201715CincinnatiMinnesota,201715MinnesotaCincinnati
862,1724,2017,15,True,Miami,Buffalo,-4.0,38.5,Team 2,-3.5,40.0,Team 2,40%,60%,51%,49%,49%,51%,201715MiamiBuffalo,201715BuffaloMiami
863,1726,2017,15,True,Houston,Jacksonville,-10.5,39.5,Team 2,-10.5,39.5,Team 2,59%,41%,52%,48%,53%,47%,201715HoustonJacksonville,201715JacksonvilleHouston
864,1728,2017,15,True,NYJets,NewOrleans,-15.5,47.0,Team 2,-16.0,47.0,Team 2,40%,60%,40%,60%,76%,24%,201715NYJetsNewOrleans,201715NewOrleansNYJets
865,1730,2017,15,True,Arizona,Washington,-3.5,44.0,Team 2,-4.0,40.0,Team 2,28%,72%,78%,22%,35%,65%,201715ArizonaWashington,201715WashingtonArizona
866,1732,2017,15,True,Baltimore,Cleveland,-7.0,40.0,Team 1,-7.0,42.5,Team 1,55%,45%,74%,26%,73%,27%,201715BaltimoreCleveland,201715ClevelandBaltimore
867,1734,2017,15,True,LARams,Seattle,-1.0,47.5,Team 2,0.0,47.5,No Favorite,40%,60%,54%,46%,55%,45%,201715LARamsSeattle,201715SeattleLARams
868,1736,2017,15,True,NewEngland,Pittsburgh,-2.5,54.5,Team 1,-2.5,53.0,Team 1,56%,44%,66%,34%,51%,49%,201715NewEnglandPittsburgh,201715PittsburghNewEngland
869,1738,2017,15,True,Tennessee,SanFrancisco,0.0,45.0,No Favorite,-2.5,44.5,Team 2,44%,56%,65%,35%,67%,33%,201715TennesseeSanFrancisco,201715SanFranciscoTennessee
870,1740,2017,15,True,Dallas,Oakland,-3.0,46.0,Team 1,-3.0,46.0,Team 1,67%,33%,72%,28%,57%,43%,201715DallasOakland,201715OaklandDallas
871,1742,2017,15,True,Atlanta,TampaBay,-4.0,47.5,Team 1,-7.0,49.5,Team 1,73%,27%,52%,48%,63%,37%,201715AtlantaTampaBay,201715TampaBayAtlanta
872,1744,2017,16,True,Indianapolis,Baltimore,-12.5,41.5,Team 2,-13.5,41.0,Team 2,41%,59%,53%,47%,57%,43%,201716IndianapolisBaltimore,201716BaltimoreIndianapolis
873,1746,2017,16,True,Minnesota,GreenBay,-10.0,40.5,Team 1,-9.0,41.0,Team 1,66%,34%,67%,33%,49%,51%,201716MinnesotaGreenBay,201716GreenBayMinnesota
874,1748,2017,16,True,Detroit,Cincinnati,-3.5,43.5,Team 1,-3.0,43.5,Team 1,65%,35%,58%,42%,69%,31%,201716DetroitCincinnati,201716CincinnatiDetroit
875,1750,2017,16,True,LAChargers,NYJets,-7.0,42.5,Team 1,-7.0,42.5,Team 1,63%,37%,71%,29%,74%,26%,201716LAChargersNYJets,201716NYJetsLAChargers
876,1752,2017,16,True,LARams,Tennessee,-6.5,49.0,Team 1,-6.0,46.0,Team 1,58%,42%,58%,42%,59%,41%,201716LARamsTennessee,201716TennesseeLARams
877,1754,2017,16,True,Cleveland,Chicago,-6.5,38.5,Team 2,-5.5,36.5,Team 2,57%,43%,29%,71%,34%,66%,201716ClevelandChicago,201716ChicagoCleveland
878,1756,2017,16,True,TampaBay,Carolina,-9.5,46.5,Team 2,-10.0,47.0,Team 2,30%,70%,72%,28%,41%,59%,201716TampaBayCarolina,201716CarolinaTampaBay
879,1758,2017,16,True,Atlanta,NewOrleans,-6.0,53.0,Team 2,-5.5,52.0,Team 2,43%,57%,80%,20%,49%,51%,201716AtlantaNewOrleans,201716NewOrleansAtlanta
880,1760,2017,16,True,Denver,Washington,-4.0,41.5,Team 2,-3.0,39.0,Team 2,34%,66%,67%,33%,46%,54%,201716DenverWashington,201716WashingtonDenver
