,index,Season,Week,Include,Team 1,Team 2,Spread Open,O/U Open,Open Favorite,Spread Close,O/U Close,Close Favorite,Spread Consensus Team 1,Spread Consensus Team 2,Over Consensus,Under Consensus,Moneyline Consensus Team 1,Moneyline Consensus Team 2,Game ID 1,Game ID 2
921,1842,2016,2,True,Tennessee,Detroit,,,Team 1,-6.0,48.0,Team 2,46%,54%,64%,36%,48%,52%,20162TennesseeDetroit,20162DetroitTennessee
922,1844,2016,2,True,KansasCity,Houston,,,Team 1,0.0,42.0,No Favorite,40%,60%,66%,34%,53%,47%,20162KansasCityHouston,20162HoustonKansasCity
923,1846,2016,2,True,Miami,NewEngland,,,Team 1,-6.0,42.0,Team 2,45%,55%,75%,25%,45%,55%,20162MiamiNewEngland,20162NewEnglandMiami
924,1848,2016,2,True,Baltimore,Cleveland,,,Team 1,-4.5,42.0,Team 1,64%,36%,51%,49%,56%,44%,20162BaltimoreCleveland,20162ClevelandBaltimore
925,1850,2016,2,True,Cincinnati,Pittsburgh,,,Team 1,-3.0,48.0,Team 2,50%,50%,61%,39%,44%,56%,20162CincinnatiPittsburgh,20162PittsburghCincinnati
926,1852,2016,2,True,Dallas,Washington,,,Team 1,-3.5,47.0,Team 2,55%,45%,59%,41%,61%,39%,20162DallasWashington,20162WashingtonDallas
927,1854,2016,2,True,NewOrleans,NYGiants,,,Team 1,-4.0,54.5,Team 2,41%,59%,84%,16%,65%,35%,20162NewOrleansNYGiants,20162NYGiantsNewOrleans
928,1856,2016,2,True,SanFrancisco,Carolina,-13.5,48.5,Team 2,-12.5,44.5,Team 2,35%,65%,65%,35%,48%,52%,20162SanFranciscoCarolina,20162CarolinaSanFrancisco
929,1858,2016,2,True,TampaBay,Arizona,,,Team 1,-7.0,49.5,Team 2,48%,52%,66%,34%,67%,33%,20162TampaBayArizona,20162ArizonaTampaBay
930,1860,2016,2,True,Seattle,LosAngeles,-3.5,39.5,Team 1,-5.5,38.0,Team 1,69%,31%,55%,45%,38%,62%,20162SeattleLosAngeles,20162LosAngelesSeattle
931,1862,2016,2,True,Indianapolis,Denver,,,Team 1,-6.0,47.0,Team 2,48%,52%,71%,29%,74%,26%,20162IndianapolisDenver,20162DenverIndianapolis
932,1864,2016,2,True,Atlanta,Oakland,,,Team 1,-4.0,47.5,Team 2,32%,68%,83%,17%,56%,44%,20162AtlantaOakland,20162OaklandAtlanta
933,1866,2016,2,True,Jacksonville,SanDiego,-2.5,48.0,Team 2,-3.0,47.5,Team 2,58%,42%,78%,22%,74%,26%,20162JacksonvilleSanDiego,20162SanDiegoJacksonville
934,1868,2016,2,True,GreenBay,Minnesota,,,Team 1,-2.0,43.0,Team 1,78%,22%,77%,23%,73%,27%,20162GreenBayMinnesota,20162MinnesotaGreenBay
935,1870,2016,2,True,Philadelphia,Chicago,-1.0,43.0,Team 2,-3.0,43.0,Team 2,41%,59%,69%,31%,61%,39%,20162PhiladelphiaChicago,20162ChicagoPhiladelphia
936,1872,2016,3,True,Houston,NewEngland,-2.5,41.0,Team 1,-1.0,38.5,Team 2,57%,43%,58%,42%,54%,46%,20163HoustonNewEngland,20163NewEnglandHouston
937,1874,2016,3,True,Denver,Cincinnati,-3.5,41.0,Team 2,-3.5,41.5,Team 2,48%,52%,66%,34%,70%,30%,20163DenverCincinnati,20163CincinnatiDenver
938,1876,2016,3,True,Oakland,Tennessee,0.0,48.0,No Favorite,-1.5,47.0,Team 1,69%,31%,71%,29%,57%,43%,20163OaklandTennessee,20163TennesseeOakland
939,1878,2016,3,True,Arizona,Buffalo,-6.5,47.0,Team 1,-5.5,48.0,Team 1,68%,32%,60%,40%,69%,31%,20163ArizonaBuffalo,20163BuffaloArizona
940,1880,2016,3,True,Baltimore,Jacksonville,0.0,47.5,No Favorite,-2.0,45.0,Team 1,38%,62%,73%,27%,25%,75%,20163BaltimoreJacksonville,20163JacksonvilleBaltimore
941,1882,2016,3,True,Cleveland,Miami,-7.0,42.5,Team 2,-10.0,42.5,Team 2,27%,73%,48%,52%,19%,81%,20163ClevelandMiami,20163MiamiCleveland
942,1884,2016,3,True,Washington,NYGiants,-4.0,47.5,Team 2,-3.5,47.0,Team 2,35%,65%,77%,23%,33%,67%,20163WashingtonNYGiants,20163NYGiantsWashington
943,1886,2016,3,True,Detroit,GreenBay,-8.0,48.0,Team 2,-6.5,47.5,Team 2,33%,67%,72%,28%,38%,62%,20163DetroitGreenBay,20163GreenBayDetroit
944,1888,2016,3,True,Minnesota,Carolina,-6.5,43.0,Team 2,-6.5,42.5,Team 2,38%,62%,58%,42%,50%,50%,20163MinnesotaCarolina,20163CarolinaMinnesota
945,1890,2016,3,True,SanFrancisco,Seattle,-11.0,42.0,Team 2,-10.5,42.0,Team 2,59%,41%,50%,50%,73%,27%,20163SanFranciscoSeattle,20163SeattleSanFrancisco
946,1892,2016,3,True,LosAngeles,TampaBay,-3.5,42.0,Team 2,-3.5,40.5,Team 2,23%,77%,50%,50%,60%,40%,20163LosAngelesTampaBay,20163TampaBayLosAngeles
947,1894,2016,3,True,Pittsburgh,Philadelphia,-5.5,46.5,Team 1,-4.0,46.5,Team 1,75%,25%,84%,16%,61%,39%,20163PittsburghPhiladelphia,20163PhiladelphiaPittsburgh
948,1896,2016,3,True,NYJets,KansasCity,-4.0,44.0,Team 2,-3.0,44.5,Team 2,54%,46%,65%,35%,76%,24%,20163NYJetsKansasCity,20163KansasCityNYJets
949,1898,2016,3,True,SanDiego,Indianapolis,-3.0,50.5,Team 2,-1.5,51.5,Team 2,45%,55%,78%,22%,51%,49%,20163SanDiegoIndianapolis,20163IndianapolisSanDiego
950,1900,2016,3,True,Chicago,Dallas,-4.0,45.5,Team 2,-6.5,45.0,Team 2,23%,77%,68%,32%,37%,63%,20163ChicagoDallas,20163DallasChicago
951,1902,2016,3,True,Atlanta,NewOrleans,-3.5,52.5,Team 2,-3.0,54.5,Team 2,40%,60%,75%,25%,44%,56%,20163AtlantaNewOrleans,20163NewOrleansAtlanta
952,1904,2016,4,True,Miami,Cincinnati,-7.0,43.5,Team 2,-7.5,46.5,Team 2,39%,61%,56%,44%,50%,50%,20164MiamiCincinnati,20164CincinnatiMiami
953,1906,2016,4,True,Indianapolis,Jacksonville,,,Team 1,-1.0,48.5,Team 1,64%,36%,82%,18%,59%,41%,20164IndianapolisJacksonville,20164JacksonvilleIndianapolis
954,1908,2016,4,True,Cleveland,Washington,-6.5,45.5,Team 2,-7.5,48.0,Team 2,47%,53%,68%,32%,59%,41%,20164ClevelandWashington,20164WashingtonCleveland
955,1910,2016,4,True,Buffalo,NewEngland,-3.5,43.5,Team 2,-3.5,41.0,Team 2,32%,68%,47%,53%,31%,69%,20164BuffaloNewEngland,20164NewEnglandBuffalo
956,1912,2016,4,True,Seattle,NYJets,,,Team 1,0.0,40.0,No Favorite,39%,61%,52%,48%,44%,56%,20164SeattleNYJets,20164NYJetsSeattle
957,1914,2016,4,True,Carolina,Atlanta,,,Team 1,-3.0,48.5,Team 1,68%,32%,86%,14%,55%,45%,20164CarolinaAtlanta,20164AtlantaCarolina
958,1916,2016,4,True,Detroit,Chicago,,,Team 1,-3.5,48.0,Team 1,73%,27%,58%,42%,67%,33%,20164DetroitChicago,20164ChicagoDetroit
959,1918,2016,4,True,Tennessee,Houston,-4.5,39.0,Team 2,-4.0,40.0,Team 2,36%,64%,70%,30%,34%,66%,20164TennesseeHouston,20164HoustonTennessee
960,1920,2016,4,True,Oakland,Baltimore,,,Team 1,-3.5,45.0,Team 2,66%,34%,76%,24%,70%,30%,20164OaklandBaltimore,20164BaltimoreOakland
961,1922,2016,4,True,Denver,TampaBay,,,Team 1,-3.5,43.0,Team 1,71%,29%,67%,33%,55%,45%,20164DenverTampaBay,20164TampaBayDenver
962,1924,2016,4,True,Dallas,SanFrancisco,0.0,44.0,No Favorite,-1.5,44.0,Team 1,68%,32%,65%,35%,54%,46%,20164DallasSanFrancisco,20164SanFranciscoDallas
963,1926,2016,4,True,NewOrleans,SanDiego,-4.0,52.0,Team 2,-4.0,54.0,Team 2,45%,55%,87%,13%,81%,19%,20164NewOrleansSanDiego,20164SanDiegoNewOrleans
964,1928,2016,4,True,LosAngeles,Arizona,,,Team 1,-9.5,43.5,Team 2,30%,70%,75%,25%,43%,57%,20164LosAngelesArizona,20164ArizonaLosAngeles
965,1930,2016,4,True,KansasCity,Pittsburgh,,,Team 1,-3.5,48.5,Team 2,24%,76%,51%,49%,22%,78%,20164KansasCityPittsburgh,20164PittsburghKansasCity
966,1932,2016,4,True,NYGiants,Minnesota,,,Team 1,-4.0,42.5,Team 2,44%,56%,59%,41%,57%,43%,20164NYGiantsMinnesota,20164MinnesotaNYGiants
967,1934,2016,5,True,Arizona,SanFrancisco,,,Team 1,-3.5,42.5,Team 1,63%,37%,42%,58%,50%,50%,20165ArizonaSanFrancisco,20165SanFranciscoArizona
968,1936,2016,5,True,Houston,Minnesota,-6.0,39.5,Team 2,-6.0,38.5,Team 2,32%,68%,44%,56%,51%,49%,20165HoustonMinnesota,20165MinnesotaHouston
969,1938,2016,5,True,Tennessee,Miami,-4.0,44.0,Team 2,-2.5,44.0,Team 2,55%,45%,49%,51%,68%,32%,20165TennesseeMiami,20165MiamiTennessee
970,1940,2016,5,True,NewEngland,Cleveland,-7.5,47.0,Team 1,-10.0,48.0,Team 1,82%,18%,78%,22%,76%,24%,20165NewEnglandCleveland,20165ClevelandNewEngland
971,1942,2016,5,True,NYJets,Pittsburgh,-6.0,48.5,Team 2,-9.5,50.0,Team 2,47%,53%,67%,33%,34%,66%,20165NYJetsPittsburgh,20165PittsburghNYJets
972,1944,2016,5,True,Washington,Baltimore,-4.0,47.0,Team 2,-4.0,44.5,Team 2,52%,48%,69%,31%,69%,31%,20165WashingtonBaltimore,20165BaltimoreWashington
973,1946,2016,5,True,Philadelphia,Detroit,-2.5,46.0,Team 2,-3.5,46.0,Team 1,63%,37%,78%,22%,53%,47%,20165PhiladelphiaDetroit,20165DetroitPhiladelphia
974,1948,2016,5,True,Chicago,Indianapolis,-5.0,47.5,Team 2,-4.0,47.5,Team 2,42%,58%,77%,23%,46%,54%,20165ChicagoIndianapolis,20165IndianapolisChicago
975,1950,2016,5,True,Atlanta,Denver,-7.0,47.0,Team 2,-4.0,44.5,Team 2,41%,59%,67%,33%,66%,34%,20165AtlantaDenver,20165DenverAtlanta
976,1952,2016,5,True,Buffalo,LosAngeles,-1.5,40.0,Team 2,-2.5,41.5,Team 1,54%,46%,43%,57%,42%,58%,20165BuffaloLosAngeles,20165LosAngelesBuffalo
977,1954,2016,5,True,SanDiego,Oakland,-3.5,52.5,Team 2,-3.5,51.0,Team 2,45%,55%,85%,15%,50%,50%,20165SanDiegoOakland,20165OaklandSanDiego
978,1956,2016,5,True,Cincinnati,Dallas,-1.0,45.5,Team 1,-2.5,45.5,Team 1,67%,33%,78%,22%,56%,44%,20165CincinnatiDallas,20165DallasCincinnati
979,1958,2016,5,True,NYGiants,GreenBay,-6.5,48.5,Team 2,-7.0,50.0,Team 2,37%,63%,79%,21%,55%,45%,20165NYGiantsGreenBay,20165GreenBayNYGiants
980,1960,2016,5,True,TampaBay,Carolina,-6.0,46.0,Team 2,-6.0,47.0,Team 2,44%,56%,67%,33%,53%,47%,20165TampaBayCarolina,20165CarolinaTampaBay
981,1962,2016,6,True,Denver,SanDiego,-2.0,46.0,Team 1,-3.0,44.5,Team 1,66%,34%,67%,33%,51%,49%,20166DenverSanDiego,20166SanDiegoDenver
982,1964,2016,6,True,Cincinnati,NewEngland,,,Team 1,-7.5,48.5,Team 2,26%,74%,74%,26%,24%,76%,20166CincinnatiNewEngland,20166NewEnglandCincinnati
983,1966,2016,6,True,Baltimore,NYGiants,-3.0,44.5,Team 2,-3.5,42.5,Team 2,46%,54%,64%,36%,50%,50%,20166BaltimoreNYGiants,20166NYGiantsBaltimore
984,1968,2016,6,True,Carolina,NewOrleans,-2.0,53.0,Team 1,-2.5,54.0,Team 1,54%,46%,83%,17%,45%,55%,20166CarolinaNewOrleans,20166NewOrleansCarolina
985,1970,2016,6,True,Pittsburgh,Miami,,,Team 1,-7.5,49.5,Team 1,65%,35%,59%,41%,58%,42%,20166PittsburghMiami,20166MiamiPittsburgh
986,1972,2016,6,True,Jacksonville,Chicago,-1.5,47.5,Team 2,-2.5,46.0,Team 2,51%,49%,67%,33%,63%,37%,20166JacksonvilleChicago,20166ChicagoJacksonville
987,1974,2016,6,True,SanFrancisco,Buffalo,-7.0,45.5,Team 2,-7.5,44.0,Team 2,55%,45%,59%,41%,55%,45%,20166SanFranciscoBuffalo,20166BuffaloSanFrancisco
988,1976,2016,6,True,LosAngeles,Detroit,-2.5,43.5,Team 2,-3.0,44.5,Team 2,38%,62%,51%,49%,56%,44%,20166LosAngelesDetroit,20166DetroitLosAngeles
989,1978,2016,6,True,Cleveland,Tennessee,-6.0,45.5,Team 2,-7.5,45.0,Team 2,48%,52%,55%,45%,73%,27%,20166ClevelandTennessee,20166TennesseeCleveland
990,1980,2016,6,True,Philadelphia,Washington,,,Team 1,-3.0,45.0,Team 1,58%,42%,77%,23%,52%,48%,20166PhiladelphiaWashington,20166WashingtonPhiladelphia
991,1982,2016,6,True,KansasCity,Oakland,,,Team 1,-2.0,47.0,Team 1,53%,47%,67%,33%,31%,69%,20166KansasCityOakland,20166OaklandKansasCity
992,1984,2016,6,True,Atlanta,Seattle,-6.0,46.0,Team 2,-7.0,45.5,Team 2,57%,43%,63%,37%,77%,23%,20166AtlantaSeattle,20166SeattleAtlanta
993,1986,2016,6,True,Dallas,GreenBay,,,Team 1,-5.0,47.5,Team 2,42%,58%,77%,23%,54%,46%,20166DallasGreenBay,20166GreenBayDallas
994,1988,2016,6,True,Indianapolis,Houston,,,Team 1,-3.0,48.0,Team 2,46%,54%,67%,33%,62%,38%,20166IndianapolisHouston,20166HoustonIndianapolis
995,1990,2016,6,True,NYJets,Arizona,,,Team 1,-7.0,46.0,Team 2,35%,65%,62%,38%,44%,56%,20166NYJetsArizona,20166ArizonaNYJets
996,1992,2016,7,True,Chicago,GreenBay,,,Team 1,-7.5,47.0,Team 2,32%,68%,59%,41%,32%,68%,20167ChicagoGreenBay,20167GreenBayChicago
997,1994,2016,7,True,NYGiants,LosAngeles,-2.0,44.5,Team 1,-3.0,45.0,Team 1,62%,38%,59%,41%,69%,31%,20167NYGiantsLosAngeles,20167LosAngelesNYGiants
998,1996,2016,7,True,Minnesota,Philadelphia,-1.5,40.0,Team 2,-3.0,39.0,Team 1,70%,30%,60%,40%,51%,49%,20167MinnesotaPhiladelphia,20167PhiladelphiaMinnesota
999,1998,2016,7,True,NewOrleans,KansasCity,-7.0,49.0,Team 2,-6.5,51.5,Team 2,43%,57%,65%,35%,58%,42%,20167NewOrleansKansasCity,20167KansasCityNewOrleans
1000,2000,2016,7,True,Washington,Detroit,-1.0,51.0,Team 2,-1.0,50.0,Team 1,56%,44%,72%,28%,46%,54%,20167WashingtonDetroit,20167DetroitWashington
1001,2002,2016,7,True,Cleveland,Cincinnati,-10.0,46.0,Team 2,-11.5,46.5,Team 2,45%,55%,66%,34%,31%,69%,20167ClevelandCincinnati,20167CincinnatiCleveland
1002,2004,2016,7,True,Buffalo,Miami,,,Team 1,-2.5,46.0,Team 1,58%,42%,60%,40%,43%,57%,20167BuffaloMiami,20167MiamiBuffalo
1003,2006,2016,7,True,Oakland,Jacksonville,-1.0,50.0,Team 2,-2.0,47.5,Team 2,68%,32%,66%,34%,78%,22%,20167OaklandJacksonville,20167JacksonvilleOakland
1004,2008,2016,7,True,Indianapolis,Tennessee,-2.5,51.0,Team 2,-4.0,48.5,Team 2,54%,46%,61%,39%,46%,54%,20167IndianapolisTennessee,20167TennesseeIndianapolis
1005,2010,2016,7,True,Baltimore,NYJets,,,Team 1,-2.0,40.5,Team 2,56%,44%,50%,50%,63%,37%,20167BaltimoreNYJets,20167NYJetsBaltimore
1006,2012,2016,7,True,SanDiego,Atlanta,-6.0,51.5,Team 2,-5.0,53.5,Team 2,42%,58%,81%,19%,34%,66%,20167SanDiegoAtlanta,20167AtlantaSanDiego
1007,2014,2016,7,True,TampaBay,SanFrancisco,0.0,47.5,No Favorite,-1.0,45.5,Team 2,47%,53%,60%,40%,62%,38%,20167TampaBaySanFrancisco,20167SanFranciscoTampaBay
1008,2016,2016,7,True,NewEngland,Pittsburgh,-1.0,46.0,Team 2,-7.5,49.5,Team 1,79%,21%,54%,46%,69%,31%,20167NewEnglandPittsburgh,20167PittsburghNewEngland
1009,2018,2016,7,True,Seattle,Arizona,-1.5,43.5,Team 2,-1.5,43.0,Team 2,51%,49%,61%,39%,51%,49%,20167SeattleArizona,20167ArizonaSeattle
1010,2020,2016,7,True,Houston,Denver,-7.0,41.5,Team 2,-8.5,40.0,Team 2,37%,63%,52%,48%,43%,57%,20167HoustonDenver,20167DenverHouston
1011,2022,2016,8,True,Jacksonville,Tennessee,-3.5,46.5,Team 2,-3.0,43.5,Team 2,36%,64%,64%,36%,39%,61%,20168JacksonvilleTennessee,20168TennesseeJacksonville
1012,2024,2016,8,True,Washington,Cincinnati,-6.0,46.5,Team 2,-3.0,49.0,Team 2,36%,64%,64%,36%,60%,40%,20168WashingtonCincinnati,20168CincinnatiWashington
1013,2026,2016,8,True,GreenBay,Atlanta,-3.0,52.0,Team 2,-3.0,51.0,Team 2,34%,66%,87%,13%,59%,41%,20168GreenBayAtlanta,20168AtlantaGreenBay
1014,2028,2016,8,True,Detroit,Houston,-3.0,45.0,Team 2,-1.0,46.5,Team 2,53%,47%,58%,42%,63%,37%,20168DetroitHouston,20168HoustonDetroit
1015,2030,2016,8,True,Seattle,NewOrleans,-3.0,48.0,Team 1,-1.0,50.0,Team 1,56%,44%,65%,35%,56%,44%,20168SeattleNewOrleans,20168NewOrleansSeattle
1016,2032,2016,8,True,NewEngland,Buffalo,-4.0,47.0,Team 1,-6.5,48.5,Team 1,80%,20%,69%,31%,82%,18%,20168NewEnglandBuffalo,20168BuffaloNewEngland
1017,2034,2016,8,True,NYJets,Cleveland,-2.0,43.0,Team 1,-2.5,45.5,Team 1,62%,38%,72%,28%,50%,50%,20168NYJetsCleveland,20168ClevelandNYJets
1018,2036,2016,8,True,Oakland,TampaBay,-1.0,49.5,Team 2,0.0,48.0,No Favorite,60%,40%,69%,31%,65%,35%,20168OaklandTampaBay,20168TampaBayOakland
1019,2038,2016,8,True,KansasCity,Indianapolis,-3.0,49.5,Team 1,-3.0,50.5,Team 1,47%,53%,69%,31%,36%,64%,20168KansasCityIndianapolis,20168IndianapolisKansasCity
1020,2040,2016,8,True,SanDiego,Denver,-6.5,45.0,Team 2,-3.5,43.5,Team 2,44%,56%,68%,32%,44%,56%,20168SanDiegoDenver,20168DenverSanDiego
1021,2042,2016,8,True,Arizona,Carolina,0.0,48.0,No Favorite,-2.5,45.5,Team 2,47%,53%,65%,35%,64%,36%,20168ArizonaCarolina,20168CarolinaArizona
1022,2044,2016,8,True,Philadelphia,Dallas,-4.5,43.5,Team 2,-5.0,44.0,Team 2,40%,60%,73%,27%,53%,47%,20168PhiladelphiaDallas,20168DallasPhiladelphia
1023,2046,2016,8,True,Minnesota,Chicago,-4.5,41.0,Team 1,-5.5,39.5,Team 1,72%,28%,57%,43%,73%,27%,20168MinnesotaChicago,20168ChicagoMinnesota
1024,2048,2016,9,True,Atlanta,TampaBay,-2.0,51.5,Team 1,-4.5,49.5,Team 1,73%,27%,68%,32%,65%,35%,20169AtlantaTampaBay,20169TampaBayAtlanta
1025,2050,2016,9,True,Jacksonville,KansasCity,-8.0,45.5,Team 2,-7.0,43.0,Team 2,37%,63%,66%,34%,31%,69%,20169JacksonvilleKansasCity,20169KansasCityJacksonville
1026,2052,2016,9,True,Detroit,Minnesota,,,Team 1,-5.5,42.5,Team 2,49%,51%,60%,40%,66%,34%,20169DetroitMinnesota,20169MinnesotaDetroit
1027,2054,2016,9,True,Philadelphia,NYGiants,-2.0,44.0,Team 2,-3.0,43.0,Team 2,62%,38%,76%,24%,73%,27%,20169PhiladelphiaNYGiants,20169NYGiantsPhiladelphia
1028,2056,2016,9,True,Dallas,Cleveland,,,Team 1,-7.0,49.5,Team 1,68%,32%,71%,29%,80%,20%,20169DallasCleveland,20169ClevelandDallas
1029,2058,2016,9,True,NYJets,Miami,-3.0,45.0,Team 2,-4.0,45.5,Team 2,43%,57%,67%,33%,68%,32%,20169NYJetsMiami,20169MiamiNYJets
1030,2060,2016,9,True,Pittsburgh,Baltimore,,,Team 1,-3.0,46.0,Team 1,67%,33%,51%,49%,70%,30%,20169PittsburghBaltimore,20169BaltimorePittsburgh
1031,2062,2016,9,True,NewOrleans,SanFrancisco,,,Team 1,-5.5,53.0,Team 1,74%,26%,70%,30%,61%,39%,20169NewOrleansSanFrancisco,20169SanFranciscoNewOrleans
1032,2064,2016,9,True,Carolina,LosAngeles,-2.0,46.0,Team 1,-3.0,44.5,Team 1,72%,28%,45%,55%,62%,38%,20169CarolinaLosAngeles,20169LosAngelesCarolina
1033,2066,2016,9,True,Indianapolis,GreenBay,,,Team 1,-7.5,52.0,Team 2,26%,74%,84%,16%,31%,69%,20169IndianapolisGreenBay,20169GreenBayIndianapolis
1034,2068,2016,9,True,Tennessee,SanDiego,-5.5,48.5,Team 2,-4.0,47.5,Team 2,35%,65%,76%,24%,40%,60%,20169TennesseeSanDiego,20169SanDiegoTennessee
1035,2070,2016,9,True,Denver,Oakland,0.0,44.5,No Favorite,0.0,44.5,No Favorite,55%,45%,68%,32%,42%,58%,20169DenverOakland,20169OaklandDenver
1036,2072,2016,9,True,Buffalo,Seattle,-5.5,44.0,Team 2,-6.0,43.5,Team 2,40%,60%,43%,57%,42%,58%,20169BuffaloSeattle,20169SeattleBuffalo
1037,2074,2016,10,True,Cleveland,Baltimore,-8.0,44.0,Team 2,-7.5,44.0,Team 2,41%,59%,61%,39%,56%,44%,201610ClevelandBaltimore,201610BaltimoreCleveland
1038,2076,2016,10,True,Houston,Jacksonville,,,Team 1,-3.0,42.5,Team 2,52%,48%,72%,28%,57%,43%,201610HoustonJacksonville,201610JacksonvilleHouston
1039,2078,2016,10,True,KansasCity,Carolina,-2.5,44.0,Team 2,-3.0,44.0,Team 2,27%,73%,40%,60%,53%,47%,201610KansasCityCarolina,201610CarolinaKansasCity
1040,2080,2016,10,True,Denver,NewOrleans,,,Team 1,-3.0,50.0,Team 2,41%,59%,68%,32%,58%,42%,201610DenverNewOrleans,201610NewOrleansDenver
1041,2082,2016,10,True,LosAngeles,NYJets,,,Team 1,-1.0,38.5,Team 1,52%,48%,33%,67%,46%,54%,201610LosAngelesNYJets,201610NYJetsLosAngeles
1042,2084,2016,10,True,Atlanta,Philadelphia,,,Team 1,-1.5,49.0,Team 2,72%,28%,85%,15%,64%,36%,201610AtlantaPhiladelphia,201610PhiladelphiaAtlanta
1043,2086,2016,10,True,Minnesota,Washington,,,Team 1,-2.5,42.0,Team 2,36%,64%,61%,39%,58%,42%,201610MinnesotaWashington,201610WashingtonMinnesota
1044,2088,2016,10,True,GreenBay,Tennessee,,,Team 1,-3.0,49.0,Team 1,81%,19%,82%,18%,81%,19%,201610GreenBayTennessee,201610TennesseeGreenBay
1045,2090,2016,10,True,Chicago,TampaBay,,,Team 1,-2.5,45.0,Team 1,53%,47%,79%,21%,30%,70%,201610ChicagoTampaBay,201610TampaBayChicago
1046,2092,2016,10,True,Miami,SanDiego,-3.5,48.0,Team 2,-4.5,49.0,Team 2,26%,74%,86%,14%,23%,77%,201610MiamiSanDiego,201610SanDiegoMiami
1047,2094,2016,10,True,SanFrancisco,Arizona,-11.5,48.0,Team 2,-14.0,47.0,Team 2,38%,62%,57%,43%,82%,18%,201610SanFranciscoArizona,201610ArizonaSanFrancisco
1048,2096,2016,10,True,Dallas,Pittsburgh,,,Team 1,-3.0,51.0,Team 2,50%,50%,73%,27%,69%,31%,201610DallasPittsburgh,201610PittsburghDallas
1049,2098,2016,10,True,Seattle,NewEngland,,,Team 1,-7.5,49.5,Team 2,35%,65%,59%,41%,56%,44%,201610SeattleNewEngland,201610NewEnglandSeattle
1050,2100,2016,10,True,Cincinnati,NYGiants,-2.0,46.0,Team 2,0.0,49.5,No Favorite,35%,65%,68%,32%,44%,56%,201610CincinnatiNYGiants,201610NYGiantsCincinnati
1051,2102,2016,11,True,NewOrleans,Carolina,,,Team 1,-3.5,53.0,Team 2,53%,47%,75%,25%,59%,41%,201611NewOrleansCarolina,201611CarolinaNewOrleans
1052,2104,2016,11,True,Tennessee,Indianapolis,,,Team 1,-3.0,54.0,Team 2,60%,40%,79%,21%,67%,33%,201611TennesseeIndianapolis,201611IndianapolisTennessee
1053,2106,2016,11,True,Jacksonville,Detroit,,,Team 1,-5.5,47.0,Team 2,37%,63%,81%,19%,31%,69%,201611JacksonvilleDetroit,201611DetroitJacksonville
1054,2108,2016,11,True,TampaBay,KansasCity,,,Team 1,-7.0,45.0,Team 2,46%,54%,52%,48%,43%,57%,201611TampaBayKansasCity,201611KansasCityTampaBay
1055,2110,2016,11,True,Chicago,NYGiants,,,Team 1,-7.0,41.5,Team 2,23%,77%,55%,45%,40%,60%,201611ChicagoNYGiants,201611NYGiantsChicago
1056,2112,2016,11,True,Arizona,Minnesota,,,Team 1,-2.0,40.0,Team 2,54%,46%,38%,62%,64%,36%,201611ArizonaMinnesota,201611MinnesotaArizona
1057,2114,2016,11,True,Buffalo,Cincinnati,-4.0,45.5,Team 2,-2.5,48.0,Team 2,53%,47%,63%,37%,68%,32%,201611BuffaloCincinnati,201611CincinnatiBuffalo
1058,2116,2016,11,True,Baltimore,Dallas,,,Team 1,-7.0,44.5,Team 2,49%,51%,72%,28%,72%,28%,201611BaltimoreDallas,201611DallasBaltimore
1059,2118,2016,11,True,Pittsburgh,Cleveland,,,Team 1,-9.0,45.5,Team 1,73%,27%,42%,58%,77%,23%,201611PittsburghCleveland,201611ClevelandPittsburgh
1060,2120,2016,11,True,Miami,LosAngeles,0.0,41.0,No Favorite,-1.0,38.5,Team 1,71%,29%,33%,67%,64%,36%,201611MiamiLosAngeles,201611LosAngelesMiami
1061,2122,2016,11,True,NewEngland,SanFrancisco,,,Team 1,-12.0,51.5,Team 1,84%,16%,65%,35%,70%,30%,201611NewEnglandSanFrancisco,201611SanFranciscoNewEngland
1062,2124,2016,11,True,Philadelphia,Seattle,,,Team 1,-6.5,43.0,Team 2,31%,69%,67%,33%,56%,44%,201611PhiladelphiaSeattle,201611SeattlePhiladelphia
1063,2126,2016,11,True,GreenBay,Washington,,,Team 1,-3.0,48.5,Team 2,59%,41%,70%,30%,79%,21%,201611GreenBayWashington,201611WashingtonGreenBay
1064,2128,2016,11,True,Houston,Oakland,-3.5,46.5,Team 2,-6.5,46.0,Team 2,32%,68%,65%,35%,44%,56%,201611HoustonOakland,201611OaklandHouston
1065,2130,2016,12,True,Minnesota,Detroit,,,Team 1,-1.5,42.0,Team 2,39%,61%,64%,36%,39%,61%,201612MinnesotaDetroit,201612DetroitMinnesota
1066,2132,2016,12,True,Washington,Dallas,-6.5,48.0,Team 2,-5.5,53.5,Team 2,39%,61%,69%,31%,64%,36%,201612WashingtonDallas,201612DallasWashington
1067,2134,2016,12,True,Pittsburgh,Indianapolis,,,Team 1,-8.5,49.5,Team 1,70%,30%,50%,50%,57%,43%,201612PittsburghIndianapolis,201612IndianapolisPittsburgh
1068,2136,2016,12,True,SanDiego,Houston,,,Team 1,-2.5,46.0,Team 1,61%,39%,78%,22%,38%,62%,201612SanDiegoHouston,201612HoustonSanDiego
1069,2138,2016,12,True,Tennessee,Chicago,0.0,45.5,No Favorite,-6.5,42.0,Team 1,83%,17%,64%,36%,56%,44%,201612TennesseeChicago,201612ChicagoTennessee
