,index,Season,Week,Include,Team 1,Team 2,Team 1 Final,Team 2 Final,Total Final,Game ID 1,Game ID 2
57,114,2016,1,True,NewEngland,Arizona,23,21,44,20161NewEnglandArizona,20161ArizonaNewEngland
58,116,2016,1,True,Pittsburgh,Washington,38,16,54,20161PittsburghWashington,20161WashingtonPittsburgh
59,118,2016,1,True,LosAngeles,SanFrancisco,0,28,28,20161LosAngelesSanFrancisco,20161SanFranciscoLosAngeles
60,120,2016,2,True,NYJets,Buffalo,37,31,68,20162NYJetsBuffalo,20162BuffaloNYJets
61,122,2016,2,True,SanFrancisco,Carolina,27,46,73,20162SanFranciscoCarolina,20162CarolinaSanFrancisco
62,124,2016,2,True,Dallas,Washington,27,23,50,20162DallasWashington,20162WashingtonDallas
63,126,2016,2,True,Cincinnati,Pittsburgh,16,24,40,20162CincinnatiPittsburgh,20162PittsburghCincinnati
64,128,2016,2,True,NewOrleans,NYGiants,13,16,29,20162NewOrleansNYGiants,20162NYGiantsNewOrleans
65,130,2016,2,True,Miami,NewEngland,24,31,55,20162MiamiNewEngland,20162NewEnglandMiami
66,132,2016,2,True,KansasCity,Houston,12,19,31,20162KansasCityHouston,20162HoustonKansasCity
67,134,2016,2,True,Tennessee,Detroit,16,15,31,20162TennesseeDetroit,20162DetroitTennessee
68,136,2016,2,True,Baltimore,Cleveland,25,20,45,20162BaltimoreCleveland,20162ClevelandBaltimore
69,138,2016,2,True,TampaBay,Arizona,7,40,47,20162TampaBayArizona,20162ArizonaTampaBay
70,140,2016,2,True,Seattle,LosAngeles,3,9,12,20162SeattleLosAngeles,20162LosAngelesSeattle
71,142,2016,2,True,Jacksonville,SanDiego,14,38,52,20162JacksonvilleSanDiego,20162SanDiegoJacksonville
72,144,2016,2,True,Atlanta,Oakland,35,28,63,20162AtlantaOakland,20162OaklandAtlanta
73,146,2016,2,True,Indianapolis,Denver,20,34,54,20162IndianapolisDenver,20162DenverIndianapolis
74,148,2016,2,True,GreenBay,Minnesota,14,17,31,20162GreenBayMinnesota,20162MinnesotaGreenBay
75,150,2016,2,True,Philadelphia,Chicago,29,14,43,20162PhiladelphiaChicago,20162ChicagoPhiladelphia
76,152,2016,3,True,Houston,NewEngland,0,27,27,20163HoustonNewEngland,20163NewEnglandHouston
77,154,2016,3,True,Arizona,Buffalo,18,33,51,20163ArizonaBuffalo,20163BuffaloArizona
78,156,2016,3,True,Oakland,Tennessee,17,10,27,20163OaklandTennessee,20163TennesseeOakland
