,_id,Team,Final,Season,Week
80,5f993e32d6f3f1cd63a4ccb4,Seattle (11-5),23,2019,19
81,5f993e32d6f3f1cd63a4ccb5,Green Bay (13-3),28,2019,19
82,5f993e33d6f3f1cd63a4ccb7,Tennessee (9-7),24,2019,20
83,5f993e33d6f3f1cd63a4ccb8,Kansas City (12-4),35,2019,20
84,5f993e33d6f3f1cd63a4ccb9,Green Bay (13-3),20,2019,20
85,5f993e33d6f3f1cd63a4ccba,San Francisco (13-3),37,2019,20
86,5f993e33d6f3f1cd63a4ccbc,San Francisco (13-3),20,2019,21
87,5f993e33d6f3f1cd63a4ccbd,Kansas City (12-4),31,2019,21
88,5f993e472aa4ba0deeabca68,Carolina (0-1),20,2016,1
89,5f993e472aa4ba0deeabca69,Denver (1-0),21,2016,1
90,5f993e472aa4ba0deeabca6a,Tampa Bay (1-0),31,2016,1
91,5f993e472aa4ba0deeabca6b,Atlanta (0-1),24,2016,1
92,5f993e472aa4ba0deeabca6c,Minnesota (1-0),25,2016,1
93,5f993e472aa4ba0deeabca6d,Tennessee (0-1),16,2016,1
94,5f993e472aa4ba0deeabca6e,Cleveland (0-1),10,2016,1
95,5f993e472aa4ba0deeabca6f,Philadelphia (1-0),29,2016,1
96,5f993e472aa4ba0deeabca70,Cincinnati (1-0),23,2016,1
97,5f993e472aa4ba0deeabca71,NY Jets (0-1),22,2016,1
98,5f993e472aa4ba0deeabca72,Oakland (1-0),35,2016,1
99,5f993e472aa4ba0deeabca73,New Orleans (0-1),34,2016,1
100,5f993e472aa4ba0deeabca74,San Diego (0-1),27,2016,1
101,5f993e472aa4ba0deeabca75,Kansas City (1-0),33,2016,1
102,5f993e472aa4ba0deeabca76,Buffalo (0-1),7,2016,1
103,5f993e472aa4ba0deeabca77,Baltimore (1-0),13,2016,1
104,5f993e472aa4ba0deeabca78,Chicago (0-1),14,2016,1
105,5f993e472aa4ba0deeabca79,Houston (1-0),23,2016,1
106,5f993e472aa4ba0deeabca7a,Green Bay (1-0),27,2016,1
107,5f993e472aa4ba0deeabca7b,Jacksonville (0-1),23,2016,1
108,5f993e472aa4ba0deeabca7c,Miami (0-1),10,2016,1
109,5f993e472aa4ba0deeabca7d,Seattle (1-0),12,2016,1
110,5f993e472aa4ba0deeabca7e,NY Giants (1-0),20,2016,1
111,5f993e472aa4ba0deeabca7f,Dallas (0-1),19,2016,1
112,5f993e472aa4ba0deeabca80,Detroit (1-0),39,2016,1
113,5f993e472aa4ba0deeabca81,Indianapolis (0-1),35,2016,1
114,5f993e472aa4ba0deeabca82,New England (1-0),23,2016,1
115,5f993e472aa4ba0deeabca83,Arizona (0-1),21,2016,1
116,5f993e472aa4ba0deeabca84,Pittsburgh (1-0),38,2016,1
117,5f993e472aa4ba0deeabca85,Washington (0-1),16,2016,1
118,5f993e472aa4ba0deeabca86,Los Angeles (0-1),0,2016,1
119,5f993e472aa4ba0deeabca87,San Francisco (1-0),28,2016,1
120,5f993e482aa4ba0deeabca89,NY Jets (1-1),37,2016,2
121,5f993e482aa4ba0deeabca8a,Buffalo (0-2),31,2016,2
122,5f993e482aa4ba0deeabca8b,San Francisco (1-1),27,2016,2
123,5f993e482aa4ba0deeabca8c,Carolina (1-1),46,2016,2
124,5f993e482aa4ba0deeabca8d,Dallas (1-1),27,2016,2
125,5f993e482aa4ba0deeabca8e,Washington (0-2),23,2016,2
126,5f993e482aa4ba0deeabca8f,Cincinnati (1-1),16,2016,2
127,5f993e482aa4ba0deeabca90,Pittsburgh (2-0),24,2016,2
128,5f993e482aa4ba0deeabca91,New Orleans (0-2),13,2016,2
129,5f993e482aa4ba0deeabca92,NY Giants (2-0),16,2016,2
130,5f993e482aa4ba0deeabca93,Miami (0-2),24,2016,2
131,5f993e482aa4ba0deeabca94,New England (2-0),31,2016,2
132,5f993e482aa4ba0deeabca95,Kansas City (1-1),12,2016,2
133,5f993e482aa4ba0deeabca96,Houston (2-0),19,2016,2
134,5f993e482aa4ba0deeabca97,Tennessee (1-1),16,2016,2
135,5f993e482aa4ba0deeabca98,Detroit (1-1),15,2016,2
136,5f993e482aa4ba0deeabca99,Baltimore (2-0),25,2016,2
137,5f993e482aa4ba0deeabca9a,Cleveland (0-2),20,2016,2
138,5f993e482aa4ba0deeabca9b,Tampa Bay (1-1),7,2016,2
139,5f993e482aa4ba0deeabca9c,Arizona (1-1),40,2016,2
140,5f993e482aa4ba0deeabca9d,Seattle (1-1),3,2016,2
141,5f993e482aa4ba0deeabca9e,Los Angeles (1-1),9,2016,2
142,5f993e482aa4ba0deeabca9f,Jacksonville (0-2),14,2016,2
143,5f993e482aa4ba0deeabcaa0,San Diego (1-1),38,2016,2
144,5f993e482aa4ba0deeabcaa1,Atlanta (1-1),35,2016,2
