,Spread Delta,Follow Spread?
390,6.5,False
391,0.0,False
392,1.0,True
393,0.5,False
394,1.5,True
395,-1.5,True
396,1.5,True
397,-0.5,False
398,3.0,True
399,0.0,False
400,0.5,True
401,2.0,False
402,3.0,True
403,1.5,True
404,1.5,True
405,0.0,True
406,1.5,False
407,-0.5,True
408,,True
409,-0.5,True
410,,True
411,,True
412,,False
413,,True
414,,False
415,,True
416,,False
417,,True
418,,True
419,,False
420,,False
421,-0.5,False
422,,True
423,,False
424,,False
425,-0.5,True
426,-2.0,False
427,-1.5,True
428,,True
429,-1.5,True
430,1.0,False
431,0.0,False
432,0.5,True
433,0.5,False
434,,True
435,0.0,True
436,0.0,False
437,-1.5,True
438,0.5,False
439,,True
440,,False
441,3.0,True
442,,True
443,,True
444,,False
445,1.0,False
446,,False
447,-1.5,True
448,,True
449,,True
450,,True
451,0.0,False
452,,False
453,,False
454,,False
455,1.0,True
456,,True
457,,True
458,,False
459,,True
460,,False
461,,False
462,,True
463,0.0,False
464,,True
465,,False
466,,True
467,,True
468,1.0,False
469,,True
470,,False
471,,True
472,2.0,False
473,,True
474,0.0,True
475,0.5,False
476,,False
477,,True
478,0.0,False
479,,True
480,-1.5,True
481,0.0,False
482,0.0,True
483,,False
484,,False
485,-1.5,False
486,,False
487,,False
488,,True
489,,True
490,2.5,True
491,,False
492,2.5,True
493,,True
494,1.5,False
495,,False
496,,True
497,,False
498,-2.0,True
499,-1.5,False
500,,False
501,,False
502,,True
503,,False
504,1.0,True
505,,True
506,,True
507,,False
508,1.0,True
509,-3.5,True
510,-2.5,False
511,2.0,True
512,1.5,False
513,3.5,True
514,-0.5,False
515,3.5,False
516,0.0,True
517,1.0,False
518,-2.5,False
519,0.5,False
520,-2.0,False
521,1.5,True
522,0.0,False
523,0.5,False
524,,True
525,,True
526,3.0,True
527,,False
528,-0.5,True
529,,False
530,,True
531,2.0,False
532,-0.5,False
533,,True
534,,False
535,2.0,False
536,0.0,True
537,-2.0,True
538,-1.5,True
539,0.0,False
540,1.0,False
541,-1.0,True
542,-2.0,False
543,-3.0,False
544,3.0,False
545,0.0,False
546,-1.5,False
547,1.0,False
548,-0.5,False
549,-1.0,True
550,-3.0,True
551,0.5,True
552,1.5,True
553,-0.5,False
554,-0.5,False
555,,True
556,,False
557,,False
558,,True
559,,False
560,1.0,False
561,,True
562,-1.0,False
563,0.0,False
564,,False
565,-1.5,True
566,,False
567,1.0,False
568,,True
569,-0.5,False
570,,True
571,,False
572,,False
573,1.0,True
574,,True
575,,True
576,2.0,False
577,,True
578,,True
579,,False
580,-0.5,True
581,,True
582,,False
583,0.0,False
584,0.5,False
585,,True
586,,False
587,,False
588,,True
589,,False
590,2.5,True
591,,False
592,,False
593,-1.5,False
594,,False
595,,True
596,1.0,True
597,4.0,True
598,-1.0,False
599,1.0,True
600,-1.5,False
601,0.0,True
602,3.0,True
603,-0.5,True
604,-1.0,False
605,0.0,False
606,2.0,False
607,2.0,False
608,0.0,True
609,2.5,True
610,-1.5,True
611,-0.5,True
612,0.0,False
613,-1.5,False
614,-0.5,False
615,0.0,False
616,-0.5,True
617,-1.5,False
618,-0.5,True
619,-1.5,True
620,-1.5,False
621,-3.0,True
622,0.0,False
623,1.5,True
624,2.0,False
625,2.5,False
626,-3.5,False
627,-1.0,False
628,0.0,True
629,0.5,True
630,3.0,False
631,-0.5,False
632,0.0,False
633,0.0,False
634,0.5,True
635,0.0,True
636,0.0,True
637,-0.5,True
638,0.5,True
639,-0.5,False
640,0.0,False
641,2.5,False
642,0.0,False
643,1.0,False
644,1.0,True
645,1.5,True
646,-1.5,True
647,-0.5,False
648,1.5,True
649,2.0,True
650,0.5,True
651,0.0,True
652,0.0,True
653,1.0,False
654,0.0,True
655,-0.5,True
656,-1.0,True
657,,True
658,,False
659,0.0,True
660,-1.0,False
661,0.0,True
662,-0.5,False
663,0.0,True
664,1.5,False
665,,False
666,-0.5,False
667,0.0,True
668,0.5,True
669,,True
670,,True
671,1.0,False
672,-1.5,False
673,0.0,False
674,-1.5,False
675,,True
676,-0.5,False
677,-1.0,False
678,,True
679,0.5,True
680,-0.5,False
681,1.0,True
682,,False
683,,True
684,1.5,False
685,0.0,True
686,,True
687,,True
688,-0.5,True
689,-0.5,True
690,,False
691,,True
692,,True
693,2.5,True
694,1.5,True
695,0.0,False
696,,False
697,,False
698,-1.5,False
699,,True
700,,True
701,,True
702,3.5,False
703,,False
704,-2.5,True
705,0.0,True
706,-1.0,False
707,-0.5,True
708,-1.0,True
709,-1.5,False
710,-1.5,True
711,-1.0,True
712,0.0,True
713,-1.0,False
714,2.0,True
715,-1.0,False
716,0.0,False
717,0.5,False
718,0.5,True
719,,True
720,-4.5,True
721,0.0,False
722,4.0,True
723,1.5,False
724,-0.5,False
725,-1.5,False
726,2.0,True
727,-1.5,False
728,1.5,True
729,0.5,True
730,-1.0,False
731,4.0,True
732,-0.5,True
733,0.0,False
734,-1.0,False
735,0.0,True
736,-2.0,True
737,0.0,True
738,-0.5,True
739,0.0,True
740,-0.5,False
741,0.5,False
742,-0.5,True
743,2.0,False
744,-4.0,True
745,0.0,False
746,-1.0,True
747,-0.5,True
748,0.0,True
749,3.0,False
750,0.0,False
751,-0.5,False
752,-1.5,False
753,1.5,False
754,-1.0,True
755,1.0,True
756,1.5,False
757,0.5,True
758,2.0,False
759,0.0,True
760,0.0,True
761,0.0,False
762,-0.5,True
763,2.5,False
764,0.0,True
765,2.0,False
766,2.0,True
767,-8.0,False
768,-2.0,True
769,2.5,False
770,0.5,True
771,2.5,False
772,0.5,False
773,2.5,False
774,-0.5,True
775,-2.0,True
776,2.0,True
777,1.0,True
778,0.0,False
779,1.0,False
780,-1.5,False
781,-0.5,True
782,0.5,False
783,2.0,False
784,0.5,False
785,1.5,True
786,0.0,True
787,-2.0,True
788,0.0,True
789,0.0,True
790,-3.0,False
791,-1.5,True
792,0.0,True
793,-0.5,True
794,1.0,False
795,0.0,True
796,2.0,True
797,3.0,False
798,-0.5,False
799,1.5,False
800,3.5,False
801,-2.0,True
802,2.5,False
803,-2.5,True
804,-2.0,True
805,-0.5,True
806,1.0,False
807,1.0,False
808,-0.5,False
809,1.5,False
810,1.5,False
811,-1.5,True
812,0.0,True
813,0.5,False
814,2.0,True
815,-1.0,True
816,0.0,False
817,0.0,False
818,-1.0,False
819,-0.5,True
820,-3.0,False
821,-1.0,False
822,-1.5,True
823,0.5,True
824,0.0,True
825,1.5,False
826,2.0,False
827,0.0,False
828,2.5,False
829,0.5,True
830,1.0,False
831,2.0,True
832,-2.0,False
833,-2.0,False
834,-1.5,True
835,-1.0,False
836,-1.0,False
837,0.5,False
838,-1.0,True
839,0.5,False
840,2.5,True
841,-3.5,True
842,-1.5,False
843,0.0,True
844,0.0,False
845,0.5,True
846,1.0,False
847,-2.0,True
848,-1.0,False
849,-0.5,False
850,0.0,True
851,-1.5,True
852,-1.0,False
853,-2.0,False
854,2.0,False
855,3.0,False
856,-0.5,True
857,0.0,True
858,0.5,True
859,0.5,False
860,0.0,True
861,-1.0,False
862,0.0,True
863,2.5,True
864,0.0,True
865,3.0,True
866,1.0,True
867,-1.0,True
868,-0.5,False
869,0.0,True
870,-0.5,False
871,-1.0,True
872,0.5,True
873,-0.5,True
874,-1.0,True
875,1.0,False
876,0.5,False
877,-1.0,False
878,-2.0,True
879,2.0,True
880,-1.0,True
881,,True
882,1.0,True
883,1.0,True
884,0.0,False
885,0.5,True
886,,True
887,,True
888,,False
889,,True
890,-1.5,False
891,-0.5,False
892,-1.5,False
893,,True
894,,False
895,,False
896,,True
897,,False
898,,False
899,,True
900,,True
901,,False
902,,True
903,,False
904,,False
905,,False
906,,False
907,-2.5,False
908,,True
909,,True
910,,False
911,,False
912,,False
913,,True
914,,True
915,-1.0,True
916,,False
917,2.0,True
918,,False
919,,True
920,0.5,False
921,,True
922,2.0,True
923,-1.5,True
924,0.0,False
925,1.5,False
926,-1.0,False
927,2.0,False
928,3.0,True
929,-0.5,False
930,-1.5,True
931,0.0,False
932,-0.5,True
933,0.0,False
934,-1.5,False
935,-1.0,True
936,-1.5,True
937,2.5,False
938,-0.5,False
939,0.5,False
940,,True
941,1.0,False
942,0.0,False
943,,True
944,,True
945,,True
946,-0.5,True
947,,True
948,,False
949,1.5,False
950,0.0,False
951,,True
952,,False
953,,False
954,,False
955,0.0,True
956,-1.5,False
957,2.5,False
958,3.5,False
959,0.0,False
960,1.0,True
961,-1.0,True
962,-3.0,False
963,1.0,False
964,0.0,False
965,1.5,True
966,0.5,False
967,0.0,False
968,1.0,True
969,,False
970,0.5,False
971,0.5,True
972,,True
973,1.0,True
974,0.5,False
975,0.5,False
976,1.5,True
977,,True
978,,False
979,1.0,True
980,,True
981,,False
982,,False
983,,False
984,1.0,False
985,1.5,True
986,-0.5,False
987,0.0,False
988,1.5,False
989,,True
990,1.0,True
991,1.5,True
992,,False
993,-1.0,False
994,1.0,True
995,6.5,False
996,0.0,False
997,1.5,False
998,-0.5,True
999,-3.0,False
1000,0.0,False
1001,-2.0,True
1002,-2.0,False
1003,2.5,False
1004,0.5,False
1005,-1.0,False
1006,0.0,True
1007,-3.0,True
1008,2.5,False
1009,0.5,False
1010,1.0,True
1011,2.5,False
1012,-1.0,False
1013,,True
1014,1.0,False
1015,,False
1016,1.0,False
1017,,True
1018,,False
1019,1.0,False
1020,,True
1021,-1.5,True
1022,0.0,False
1023,0.5,False
1024,-0.5,True
1025,,True
1026,0.5,True
1027,,True
1028,,False
1029,,False
1030,,False
1031,,True
1032,,True
1033,1.0,True
1034,2.5,True
1035,,True
1036,,True
1037,-2.0,False
1038,,True
1039,,False
1040,,False
1041,,True
1042,,True
1043,,False
1044,-1.5,False
1045,,False
1046,,False
1047,1.0,False
1048,,False
1049,,False
1050,,False
1051,3.0,False
1052,,False
1053,-1.0,False
1054,,False
1055,,False
1056,6.5,True
1057,2.0,True
1058,,False
1059,0.0,True
1060,,False
1061,,False
1062,,False
1063,,True
1064,,True
1065,,True
1066,2.0,True
1067,1.0,True
1068,0.5,True
1069,,False
1070,1.0,True
1071,,False
1072,,False
1073,1.5,True
1074,,True
1075,,False
1076,,False
1077,,False
1078,,True
1079,,False
1080,,False
1081,,False
1082,,True
1083,0.0,True
1084,0.5,False
1085,-2.0,True
1086,2.0,True
1087,1.0,False
1088,0.5,False
1089,-0.5,False
1090,0.5,True
1091,0.5,False
1092,2.0,False
1093,1.5,False
1094,2.0,True
1095,0.5,True
1096,0.5,False
1097,1.0,True
1098,-3.0,True
1099,3.0,False
1100,-0.5,True
1101,,True
1102,,False
1103,-1.0,False
1104,,True
1105,,True
1106,0.5,False
1107,,True
1108,,True
1109,0.5,True
1110,,False
1111,0.0,True
1112,0.0,True
1113,,False
1114,,True
1115,,False
1116,-1.0,True
1117,1.0,True
1118,-0.5,True
1119,-0.5,True
1120,0.0,True
1121,0.5,False
1122,0.5,True
1123,-1.5,False
1124,0.0,True
1125,3.0,True
1126,2.5,True
1127,-0.5,False
1128,2.0,True
1129,0.0,True
1130,-0.5,True
1131,0.0,True
1132,-1.0,False
1133,0.0,False
1134,4.0,True
1135,0.5,False
1136,-1.5,False
1137,0.0,True
1138,0.0,True
1139,0.0,False
1140,-9.0,False
1141,1.0,True
1142,2.0,False
1143,-0.5,True
1144,1.5,False
1145,2.5,True
1146,-2.5,True
1147,1.5,False
1148,,False
1149,2.0,False
1150,1.5,False
1151,2.5,False
1152,0.5,False
1153,2.0,True
1154,1.0,True
1155,2.0,False
1156,,False
1157,3.0,False
