,Season_x,Week_x,Team 1_x,Team 2_x,Spread Open,Spread Close,Open Favorite,Close Favorite,Spread Consensus Team 1,Spread Consensus Team 2,Team 1 Final,Team 2 Final,Total Final,Spread Delta,Winner
0,2020,1,Houston,KansasCity,-10.0,-9.5,Team 2,Team 2,50%,50%,20.0,34.0,54.0,-0.5,Team 2
1,2020,1,LasVegas,Carolina,,,Team 1,Team 1,,,34.0,30.0,64.0,,Team 1
2,2020,1,LasVegas,Carolina,0.0,-3.0,No Favorite,Team 1,55%,45%,34.0,30.0,64.0,3.0,Team 1
3,2020,1,Miami,NewEngland,-5.5,-7.0,Team 2,Team 2,42%,58%,11.0,21.0,32.0,1.5,Team 2
4,2020,1,Cleveland,Baltimore,-9.0,-7.0,Team 2,Team 2,40%,60%,6.0,38.0,44.0,-2.0,Team 2
5,2020,1,NYJets,Buffalo,-5.5,-6.0,Team 2,Team 2,20%,80%,17.0,27.0,44.0,0.5,Team 2
6,2020,1,Seattle,Atlanta,-1.0,0.0,Team 1,No Favorite,42%,58%,38.0,25.0,63.0,-1.0,Team 1
7,2020,1,Philadelphia,Washington,-5.5,-5.5,Team 1,Team 1,51%,49%,17.0,27.0,44.0,0.0,Team 2
8,2020,1,Chicago,Detroit,0.0,-2.0,No Favorite,Team 2,45%,55%,27.0,23.0,50.0,2.0,Team 1
9,2020,1,Indianapolis,Jacksonville,-7.0,-7.0,Team 1,Team 1,66%,34%,20.0,27.0,47.0,0.0,Team 2
10,2020,1,GreenBay,Minnesota,-3.0,-1.5,Team 2,Team 2,52%,48%,43.0,34.0,77.0,-1.5,Team 1
11,2020,1,LAChargers,Cincinnati,-3.5,-2.5,Team 1,Team 1,48%,52%,16.0,13.0,29.0,-1.0,Team 1
12,2020,1,Arizona,SanFrancisco,-7.5,-7.5,Team 2,Team 1,48%,52%,24.0,20.0,44.0,0.0,Team 1
13,2020,1,TampaBay,NewOrleans,-4.5,-4.0,Team 2,Team 2,58%,42%,23.0,34.0,57.0,-0.5,Team 2
14,2020,1,Dallas,LARams,-2.5,0.0,Team 1,No Favorite,66%,34%,17.0,20.0,37.0,-2.5,Team 2
