,index,Season,Week,Include,Team 1,Team 2,Team 1 Final,Team 2 Final,Total Final,Game ID 1,Game ID 2
51,102,2016,1,True,Buffalo,Baltimore,7.0,13.0,20.0,20161BuffaloBaltimore,20161BaltimoreBuffalo
52,104,2016,1,True,Chicago,Houston,14.0,23.0,37.0,20161ChicagoHouston,20161HoustonChicago
53,106,2016,1,True,GreenBay,Jacksonville,27.0,23.0,50.0,20161GreenBayJacksonville,20161JacksonvilleGreenBay
54,108,2016,1,True,Miami,Seattle,10.0,12.0,22.0,20161MiamiSeattle,20161SeattleMiami
55,110,2016,1,True,NYGiants,Dallas,20.0,19.0,39.0,20161NYGiantsDallas,20161DallasNYGiants
56,112,2016,1,True,Detroit,Indianapolis,39.0,35.0,74.0,20161DetroitIndianapolis,20161IndianapolisDetroit
57,114,2016,1,True,NewEngland,Arizona,23.0,21.0,44.0,20161NewEnglandArizona,20161ArizonaNewEngland
58,116,2016,1,True,Pittsburgh,Washington,38.0,16.0,54.0,20161PittsburghWashington,20161WashingtonPittsburgh
59,118,2016,1,True,LosAngeles,SanFrancisco,0.0,28.0,28.0,20161LosAngelesSanFrancisco,20161SanFranciscoLosAngeles
60,120,2016,2,True,NYJets,Buffalo,37.0,31.0,68.0,20162NYJetsBuffalo,20162BuffaloNYJets
61,122,2016,2,True,SanFrancisco,Carolina,27.0,46.0,73.0,20162SanFranciscoCarolina,20162CarolinaSanFrancisco
62,124,2016,2,True,Dallas,Washington,27.0,23.0,50.0,20162DallasWashington,20162WashingtonDallas
63,126,2016,2,True,Cincinnati,Pittsburgh,16.0,24.0,40.0,20162CincinnatiPittsburgh,20162PittsburghCincinnati
64,128,2016,2,True,NewOrleans,NYGiants,13.0,16.0,29.0,20162NewOrleansNYGiants,20162NYGiantsNewOrleans
65,130,2016,2,True,Miami,NewEngland,24.0,31.0,55.0,20162MiamiNewEngland,20162NewEnglandMiami
66,132,2016,2,True,KansasCity,Houston,12.0,19.0,31.0,20162KansasCityHouston,20162HoustonKansasCity
67,134,2016,2,True,Tennessee,Detroit,16.0,15.0,31.0,20162TennesseeDetroit,20162DetroitTennessee
68,136,2016,2,True,Baltimore,Cleveland,25.0,20.0,45.0,20162BaltimoreCleveland,20162ClevelandBaltimore
