,_id,Team,Win-Loss,Streak,Open,Closing,Consensus_Spread,Consensus_Money,Consensus_OU,Season,Week
390,5f98879c9dfd42197edae260,261 Philadelphia,(3-2) (1-1 A),W-2,44.0,44.5,45%,61%,52%,2019,6
391,5f98879c9dfd42197edae261,262 Minnesota Â«,(3-2) (2-0 H),W-1,-3,-3.5,55%,39%,48%,2019,6
392,5f98879c9dfd42197edae262,263 Washington Â«,(0-5) (0-2 A),L-5,-6.5,-6,46%,78%,83%,2019,6
393,5f98879c9dfd42197edae263,264 Miami,(0-4) (0-3 H),L-4,41.0,42.5,54%,22%,17%,2019,6
394,5f98879c9dfd42197edae264,265 San Francisco Â«,(4-0) (2-0 A),W-4,48.5,50,28%,63%,53%,2019,6
395,5f98879c9dfd42197edae265,266 L.A. Rams,(3-2) (1-1 H),L-2,-5,-3,72%,37%,47%,2019,6
396,5f98879c9dfd42197edae266,267 Atlanta,(1-4) (0-3 A),L-3,-2.5,-3,71%,52%,84%,2019,6
397,5f98879c9dfd42197edae267,268 Arizona Â«,(1-3) (0-2 H),W-1,47.0,52.5,29%,48%,16%,2019,6
398,5f98879c9dfd42197edae268,269 Dallas,(3-2) (1-1 A),L-2,-7,-7,63%,91%,63%,2019,6
399,5f98879c9dfd42197edae269,270 N.Y. Jets Â«,(0-4) (0-2 H),L-4,45.0,43.5,37%,9%,37%,2019,6
400,5f98879c9dfd42197edae26a,271 Tennessee,(2-3) (2-1 A),L-1,PK,41,47%,47%,23%,2019,6
401,5f98879c9dfd42197edae26b,272 Denver Â«,(1-4) (0-2 H),W-1,40.0,-1,53%,53%,77%,2019,6
402,5f98879c9dfd42197edae26c,273 Pittsburgh Â«,(1-4) (0-2 A),L-1,43.5,42.5,32%,28%,65%,2019,6
403,5f98879c9dfd42197edae26d,274 L.A. Chargers,(2-3) (1-2 H),L-1,-5.5,-6,68%,72%,35%,2019,6
404,5f98879c9dfd42197edae26e,275 Detroit,(2-1) (1-0 A),L-1,46.5,47,41%,31%,59%,2019,6
405,5f98879c9dfd42197edae26f,276 Green Bay Â«,(4-1) (2-1 H),W-1,-5.5,-3.5,59%,69%,41%,2019,6
406,5f98879d9dfd42197edae271,303 Kansas City Â«,(4-2) (3-0 A),L-2,,-3,69%,79%,35%,2019,7
407,5f98879d9dfd42197edae272,304 Denver,(2-4) (1-2 H),W-2,,49.5,31%,21%,65%,2019,7
408,5f98879d9dfd42197edae273,451 Arizona Â«,(2-3) (1-1 A),W-2,50.0,50,48%,36%,74%,2019,7
409,5f98879d9dfd42197edae274,452 N.Y. Giants,(2-4) (1-2 H),L-2,-3,-3.5,52%,64%,26%,2019,7
410,5f98879d9dfd42197edae275,453 Houston,(4-2) (2-1 A),W-2,,46.5,52%,66%,83%,2019,7
411,5f98879d9dfd42197edae276,454 Indianapolis Â«,(3-2) (1-1 H),W-1,,-1.5,48%,34%,17%,2019,7
412,5f98879d9dfd42197edae277,455 Miami,(0-5) (0-1 A),L-5,,42,69%,23%,57%,2019,7
413,5f98879d9dfd42197edae278,456 Buffalo Â«,(4-1) (1-1 H),W-1,,-17,31%,77%,43%,2019,7
414,5f98879d9dfd42197edae279,457 Minnesota Â«,(4-2) (1-2 A),W-2,PK,-2.5,53%,63%,58%,2019,7
415,5f98879d9dfd42197edae27a,458 Detroit,(2-2) (1-1 H),L-2,44.0,43.5,47%,37%,42%,2019,7
416,5f98879d9dfd42197edae27b,459 Oakland,(3-2) (1-1 A),W-2,,47.5,53%,16%,63%,2019,7
417,5f98879d9dfd42197edae27c,460 Green Bay Â«,(5-1) (3-1 H),W-2,,-6,47%,84%,37%,2019,7
418,5f98879d9dfd42197edae27d,461 Jacksonville Â«,(2-4) (1-2 A),L-2,,-4.5,66%,58%,54%,2019,7
419,5f98879d9dfd42197edae27e,462 Cincinnati,(0-6) (0-2 H),L-6,,44,34%,42%,46%,2019,7
420,5f98879d9dfd42197edae27f,463 L.A. Rams Â«,(3-3) (2-1 A),L-3,,-3,68%,77%,70%,2019,7
421,5f98879d9dfd42197edae280,464 Atlanta,(1-5) (1-1 H),L-4,,54.5,32%,23%,30%,2019,7
422,5f98879d9dfd42197edae281,465 San Francisco Â«,(5-0) (3-0 A),W-5,,-10,76%,87%,31%,2019,7
423,5f98879d9dfd42197edae282,466 Washington,(1-5) (0-3 H),W-1,,39,24%,13%,69%,2019,7
424,5f98879d9dfd42197edae283,467 L.A. Chargers,(2-4) (1-1 A),L-2,,42.5,56%,57%,59%,2019,7
425,5f98879d9dfd42197edae284,468 Tennessee Â«,(2-4) (0-2 H),L-2,,-2.5,44%,43%,41%,2019,7
426,5f98879d9dfd42197edae285,469 Baltimore Â«,(4-2) (2-1 A),W-2,,48.5,46%,16%,79%,2019,7
427,5f98879d9dfd42197edae286,470 Seattle,(5-1) (2-1 H),W-3,,-3,54%,84%,21%,2019,7
428,5f98879d9dfd42197edae287,471 New Orleans Â«,(5-1) (2-1 A),W-4,,37,45%,48%,27%,2019,7
429,5f98879d9dfd42197edae288,472 Chicago,(3-2) (1-1 H),L-1,,-4.5,55%,52%,73%,2019,7
430,5f98879d9dfd42197edae289,473 Philadelphia,(3-3) (1-2 A),L-1,,50,51%,45%,49%,2019,7
431,5f98879d9dfd42197edae28a,474 Dallas Â«,(3-3) (2-1 H),L-3,,-3,49%,55%,51%,2019,7
432,5f98879d9dfd42197edae28b,475 New England Â«,(6-0) (3-0 A),W-6,-9.5,-9.5,56%,81%,62%,2019,7
433,5f98879d9dfd42197edae28c,476 N.Y. Jets,(1-4) (1-2 H),W-1,43.5,43,44%,19%,38%,2019,7
434,5f98879e9dfd42197edae28e,101 Washington,(1-6) (1-2 A),L-1,40.0,42,43%,13%,52%,2019,8
